tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.166793,103.001,0.008389,0.006291,0.008488,0.153057,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.076984,111.580,0.000000,0.071303,0.016663,0.056956,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.067766,126.758,0.000000,0.012583,0.004714,0.059316,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.092130,93.237,0.000000,0.071303,0.018623,0.071767,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.070657,121.572,0.000000,0.012583,0.006393,0.062468,-1.000e+00
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.138357,124.170,0.000000,0.067109,0.015731,0.122716,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.141710,121.232,0.067109,0.067109,0.020588,0.121347,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.082596,104.000,0.000000,0.016777,0.011561,0.077485,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.075044,114.465,0.000000,0.016777,0.005116,0.069870,-1.000e+00
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.203097,84.590,0.000000,0.268435,0.041211,0.160144,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.168120,102.188,0.008389,0.006291,0.011644,0.153344,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.079702,107.776,0.000000,0.071303,0.020086,0.061365,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.071508,120.125,0.000000,0.012583,0.010855,0.062866,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.083795,102.512,0.000000,0.071303,0.016537,0.065568,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.066915,128.371,0.000000,0.012583,0.006486,0.059979,-1.000e+00
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.131133,131.012,0.000000,0.067109,0.017200,0.118530,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.137371,125.062,0.067109,0.067109,0.014899,0.117738,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.081432,105.486,0.000000,0.016777,0.007792,0.075914,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.074680,115.023,0.000000,0.016777,0.005154,0.069152,-1.000e+00
